Year,I_Total_Multilateral,II_Total_Bilateral,III_International_Monetary_Fund,IV_Total_Trade_Credit,V_Total_Commercial_Borrowing,VI_NRI_FC_Deposits,VII_Total_Rupee_Debt,VIII_Total_Long_Term_Debt,IX_Total_Short_term_Debt,Gross_Total_Debt,Debt_Stock_GDP_Ratio,Debt_Service_Ratio
1991,40386,27378,5132,8374,19727,20030,25199,146226,16775,163001,28.7,35.3
1992,68262,47603,8934,12418,35711,27384,31956,232268,20642,252910,38.7,30.2
1993,77758,50258,14985,13484,36367,34941,33149,260942,19804,280746,37.5,27.5
1994,82199,54580,15812,16307,38782,39729,31634,279043,11375,290418,33.8,25.4
1995,89819,63761,13545,20876,40915,39006,30315,298237,13448,311685,30.8,25.9
1996,98173,65740,8152,18432,47642,37802,28150,304091,16637,320728,27,26.2
1997,105066,62891,4714,21044,51454,39527,26978,311674,24153,335827,24.6,23
1998,116904,67104,2622,25783,67086,47050,23204,349753,19929,369682,24.3,19.5
1999,129682,74304,1218,28812,89019,50048,20077,393160,18137,411297,23.6,18.7
2000,137132,79278,113,29564,86963,59120,19218,411388,17162,428550,22,17.1
2001,145105,74519,0,27625,113839,77273,17345,455706,16919,472625,22.1,16.6
2002,155633,74762,0,26110,113908,83712,14807,468932,13396,482328,20.8,13.7
2003,142683,79921,0,23750,106843,110022,13405,476624,22180,498804,20,16
2004,131105,77084,4381,20553,95611,135618,11856,476208,19251,495459,17.7,16.1
2005,138897,74530,4503,21976,115533,143267,10071,508777,77528,586305,18.4,5.9
2006,145503,70302,4378,24175,117991,161834,9184,533367,87155,620522,17.1,10.1
2007,154053,70034,4484,31237,180669,179786,8508,628771,122631,751402,17.7,4.7
2008,157901,78802,4479,41296,249243,174623,8065,714409,182881,897290,18.3,4.8
2009,201425,104997,5188,73772,318209,210118,7760,921469,220656,1142125,20.7,4.4
2010,193436,101976,27264,76011,319221,217062,7480,942450,236188,1178638,18.5,5.8
2011,216672,114905,28163,83112,448448,230812,7147,1129258,290149,1419407,18.6,4.4
2012,257088,137086,31528,97117,614623,299840,6922,1444205,399962,1844167,21.1,6
2013,279310,136329,32439,96556,762128,385202,6839,1698803,525931,2224734,22.4,5.9
2014,321560,148813,36910,93275,897744,624101,8826,2131229,550985,2682214,23.9,5.9
2015,328148,136060,34350,78915,1128501,720997,9426,2436397,535144,2971542,23.8,7.6
2016,359490,149378,37177,70001,1197176,841956,8479,2663657,553906,3217563,23.4,8.8
2017,354118,150808,35129,62426,1115514,757751,7962,2483708,571387,3055095,19.8,8.3
2018,371781,164788,37716,61676,1312723,820737,7886,2777308,664575,3441883,20.13,7.537
2019,396131,176660,38202,54899,1428897,902152,8007,3004948,749924,3754872,19.792,6.359
2020,449066,203440,40931,54119,1660215,977309,7704,3392784,805708,4198492,20.642,6.509
